subtitle_id,start,end,micro_id,status,source_text
S0186,00:07:05.75,00:07:10.80,M011,已覆盖并人工复核,set and we'll see how we can then uh
S0187,00:07:08.39,00:07:12.15,M011,已覆盖并人工复核,generate infinite Shakespeare and of
S0188,00:07:10.80,00:07:14.84,M011,已覆盖并人工复核,course this can copy paste to any
S0189,00:07:12.16,00:07:16.40,M011,已覆盖并人工复核,arbitrary Text data set uh that you like
S0190,00:07:14.83,00:07:18.75,M011,已覆盖并人工复核,uh but my goal really here is to just
S0191,00:07:16.39,00:07:22.51,M011,已覆盖并人工复核,make you understand and appreciate uh
S0192,00:07:18.75,00:07:24.00,M011,已覆盖并人工复核,how under the hood chat GPT works and um
S0193,00:07:22.51,00:07:27.39,M011,已覆盖并人工复核,really all that's required is a
S0194,00:07:24.00,00:07:29.16,M011,已覆盖并人工复核,Proficiency in Python and uh some basic
S0195,00:07:27.39,00:07:30.27,M011,已覆盖并人工复核,understanding of um calculus and
S0196,00:07:29.16,00:07:32.12,M012,已覆盖并人工复核,statistics
S0197,00:07:30.27,00:07:34.00,M012,已覆盖并人工复核,and it would help if you also see my
S0198,00:07:32.12,00:07:35.91,M012,已覆盖并人工复核,previous videos on the same YouTube
S0199,00:07:34.00,00:07:40.47,M012,已覆盖并人工复核,channel in particular my make more
S0200,00:07:35.91,00:07:42.83,M012,已覆盖并人工复核,series where I um Define smaller and
S0201,00:07:40.47,00:07:45.19,M012,已覆盖并人工复核,simpler neural network language models
S0202,00:07:42.83,00:07:46.87,M012,已覆盖并人工复核,uh so multi perceptrons and so on it
S0203,00:07:45.19,00:07:49.40,M012,已覆盖并人工复核,really introduces the language modeling
S0204,00:07:46.87,00:07:50.75,M012,已覆盖并人工复核,framework and then uh here in this video
S0205,00:07:49.39,00:07:53.51,M012,已覆盖并人工复核,we're going to focus on the Transformer
S0206,00:07:50.75,00:07:57.12,M012,已覆盖并人工复核,neural network itself okay so I created
S0207,00:07:53.51,00:07:58.75,M012,已覆盖并人工复核,a new Google collab uh jup notebook here
S0208,00:07:57.12,00:08:00.12,M012,已覆盖并人工复核,and this will allow me to later easily
S0209,00:07:58.75,00:08:01.84,M012,已覆盖并人工复核,share this code that we're going to
S0210,00:08:00.12,00:08:03.63,M012,已覆盖并人工复核,develop together uh with you so you can
S0211,00:08:01.83,00:08:07.07,M012,已覆盖并人工复核,follow along so this will be in a video
S0212,00:08:03.63,00:08:09.19,M012,已覆盖并人工复核,description uh later now here I've just
S0213,00:08:07.07,00:08:10.80,M012,已覆盖并人工复核,done some preliminaries I downloaded the
S0214,00:08:09.19,00:08:12.56,M012,已覆盖并人工复核,data set the tiny Shakespeare data set
S0215,00:08:10.80,00:08:15.84,M012,已覆盖并人工复核,at this URL and you can see that it's
S0216,00:08:12.56,00:08:17.80,M012,已覆盖并人工复核,about a 1 Megabyte file then here I open
S0217,00:08:15.83,00:08:20.07,M012,已覆盖并人工复核,the input.txt file and just read in all
S0218,00:08:17.80,00:08:22.43,M012,已覆盖并人工复核,the text of the string and we see that
S0219,00:08:20.07,00:08:24.80,M012,已覆盖并人工复核,we are working with 1 million characters
S0220,00:08:22.43,00:08:26.68,M012,已覆盖并人工复核,"roughly and the first 1,000 characters"
S0221,00:08:24.80,00:08:28.12,M012,已覆盖并人工复核,if we just print them out are basically
S0222,00:08:26.68,00:08:30.84,M012,已覆盖并人工复核,what you would expect this is the first
S0223,00:08:28.12,00:08:34.75,M012,已覆盖并人工复核,"1,000 characters of the tiny Shakespeare"
S0224,00:08:30.83,00:08:37.39,M012,已覆盖并人工复核,data set roughly up to here so so far so
S0225,00:08:34.75,00:08:39.27,M013,已覆盖并人工复核,good next we're going to take this text
S0226,00:08:37.39,00:08:41.24,M013,已覆盖并人工复核,and the text is a sequence of characters
S0227,00:08:39.27,00:08:44.03,M013,已覆盖并人工复核,in Python so when I call the set
S0228,00:08:41.24,00:08:46.72,M013,已覆盖并人工复核,Constructor on it I'm just going to get
S0229,00:08:44.03,00:08:49.72,M013,已覆盖并人工复核,the set of all the characters that occur
S0230,00:08:46.72,00:08:51.72,M013,已覆盖并人工复核,in this text and then I call list on
S0231,00:08:49.72,00:08:53.39,M013,已覆盖并人工复核,that to create a list of those
S0232,00:08:51.72,00:08:56.27,M013,已覆盖并人工复核,characters instead of just a set so that
S0233,00:08:53.39,00:08:59.03,M013,已覆盖并人工复核,I have an ordering an arbitrary ordering
S0234,00:08:56.27,00:09:00.60,M013,已覆盖并人工复核,and then I sort that so basically we get
S0235,00:08:59.03,00:09:02.83,M013,已覆盖并人工复核,just all the characters that occur in
S0236,00:09:00.60,00:09:04.32,M013,已覆盖并人工复核,the entire data set and they're sorted
S0237,00:09:02.83,00:09:06.32,M013,已覆盖并人工复核,now the number of them is going to be
S0238,00:09:04.32,00:09:09.00,M013,已覆盖并人工复核,our vocabulary size these are the
S0239,00:09:06.32,00:09:11.32,M013,已覆盖并人工复核,possible elements of our sequences and
S0240,00:09:09.00,00:09:14.32,M013,已覆盖并人工复核,we see that when I print here the
S0241,00:09:11.32,00:09:16.20,M013,已覆盖并人工复核,characters there's 65 of them in total
S0242,00:09:14.32,00:09:19.20,M013,已覆盖并人工复核,there's a space character and then all
S0243,00:09:16.20,00:09:21.56,M013,已覆盖并人工复核,kinds of special characters and then U
S0244,00:09:19.20,00:09:23.20,M013,已覆盖并人工复核,capitals and lowercase letters so that's
S0245,00:09:21.55,00:09:25.79,M013,已覆盖并人工复核,our vocabulary and that's the sort of
S0246,00:09:23.20,00:09:29.24,M013,已覆盖并人工复核,like possible uh characters that the
S0247,00:09:25.79,00:09:31.00,M013,已覆盖并人工复核,model can see or emit okay so next we
S0248,00:09:29.24,00:09:35.00,M013,已覆盖并人工复核,will would like to develop some strategy
S0249,00:09:31.00,00:09:36.87,M013,已覆盖并人工复核,to tokenize the input text now when
S0250,00:09:35.00,00:09:39.20,M013,已覆盖并人工复核,people say tokenize they mean convert
S0251,00:09:36.87,00:09:41.60,M014,已覆盖并人工复核,the raw text as a string to some
S0252,00:09:39.20,00:09:43.64,M014,已覆盖并人工复核,sequence of integers According to some
S0253,00:09:41.60,00:09:46.87,M014,已覆盖并人工复核,uh notebook According to some vocabulary
S0254,00:09:43.63,00:09:48.15,M014,已覆盖并人工复核,of possible elements so as an example
S0255,00:09:46.87,00:09:49.75,M014,已覆盖并人工复核,here we are going to be building a
S0256,00:09:48.15,00:09:50.91,M014,已覆盖并人工复核,character level language model so we're
S0257,00:09:49.75,00:09:53.63,M014,已覆盖并人工复核,simply going to be translating
S0258,00:09:50.91,00:09:55.43,M014,已覆盖并人工复核,individual characters into integers so
S0259,00:09:53.63,00:09:57.43,M014,已覆盖并人工复核,let me show you uh a chunk of code that
S0260,00:09:55.44,00:09:58.92,M014,已覆盖并人工复核,sort of does that for us so we're
S0261,00:09:57.44,00:10:00.20,M014,已覆盖并人工复核,building both the encoder and the
S0262,00:09:58.91,00:10:01.19,M014,已覆盖并人工复核,decoder
S0263,00:10:00.20,00:10:02.24,M014,已覆盖并人工复核,and let me just talk through what's
S0264,00:10:01.20,00:10:05.39,M014,已覆盖并人工复核,happening
S0265,00:10:02.24,00:10:08.20,M014,已覆盖并人工复核,here when we encode an arbitrary text
S0266,00:10:05.39,00:10:10.75,M014,已覆盖并人工复核,like hi there we're going to receive a
S0267,00:10:08.20,00:10:14.92,M014,已覆盖并人工复核,list of integers that represents that
S0268,00:10:10.75,00:10:17.03,M014,已覆盖并人工复核,string so for example 46 47 Etc and then
S0269,00:10:14.91,00:10:20.31,M014,已覆盖并人工复核,we also have the reverse mapping so we
S0270,00:10:17.03,00:10:22.63,M014,已覆盖并人工复核,can take this list and decode it to get
S0271,00:10:20.32,00:10:24.12,M015,已覆盖并人工复核,back the exact same string so it's
S0272,00:10:22.63,00:10:26.91,M015,已覆盖并人工复核,really just like a translation to
S0273,00:10:24.12,00:10:28.60,M015,已覆盖并人工复核,integers and back for arbitrary string
S0274,00:10:26.91,00:10:30.12,M015,已覆盖并人工复核,and for us it is done on a character
S0275,00:10:28.60,00:10:31.95,M015,已覆盖并人工复核,level
S0276,00:10:30.12,00:10:34.15,M015,已覆盖并人工复核,now the way this was achieved is we just
S0277,00:10:31.95,00:10:35.87,M015,已覆盖并人工复核,iterate over all the characters here and
S0278,00:10:34.15,00:10:38.43,M015,已覆盖并人工复核,create a lookup table from the character
S0279,00:10:35.87,00:10:40.63,M015,已覆盖并人工复核,to the integer and vice versa and then
S0280,00:10:38.44,00:10:41.63,M015,已覆盖并人工复核,to encode some string we simply
S0281,00:10:40.63,00:10:44.56,M015,已覆盖并人工复核,translate all the characters
S0282,00:10:41.63,00:10:46.44,M015,已覆盖并人工复核,individually and to decode it back we
S0283,00:10:44.55,00:10:49.47,M015,已覆盖并人工复核,use the reverse mapping and concatenate
S0284,00:10:46.44,00:10:51.44,M015,已覆盖并人工复核,all of it now this is only one of many
S0285,00:10:49.48,00:10:54.15,M015,已覆盖并人工复核,possible encodings or many possible sort
S0286,00:10:51.44,00:10:55.68,M015,已覆盖并人工复核,of tokenizers and it's a very simple one
S0287,00:10:54.15,00:10:57.60,M015,已覆盖并人工复核,but there's many other schemas that
S0288,00:10:55.67,00:10:59.83,M015,已覆盖并人工复核,people have come up with in practice so
S0289,00:10:57.60,00:11:02.12,M015,已覆盖并人工复核,for example Google uses a sentence
S0290,00:10:59.83,00:11:05.63,M015,已覆盖并人工复核,piece uh so sentence piece will also
S0291,00:11:02.12,00:11:08.51,M015,已覆盖并人工复核,encode text into um integers but in a
S0292,00:11:05.63,00:11:10.79,M015,已覆盖并人工复核,different schema and using a different
S0293,00:11:08.51,00:11:13.60,M015,已覆盖并人工复核,vocabulary and sentence piece is a
S0294,00:11:10.79,00:11:15.51,M015,已覆盖并人工复核,subword uh sort of tokenizer and what
S0295,00:11:13.60,00:11:17.27,M015,已覆盖并人工复核,that means is that um you're not
S0296,00:11:15.51,00:11:19.63,M015,已覆盖并人工复核,encoding entire words but you're not
S0297,00:11:17.27,00:11:22.60,M015,已覆盖并人工复核,also encoding individual characters it's
S0298,00:11:19.63,00:11:24.51,M015,已覆盖并人工复核,it's a subword unit level and that's
S0299,00:11:22.60,00:11:26.36,M015,已覆盖并人工复核,usually what's adopted in practice for
S0300,00:11:24.51,00:11:28.87,M015,已覆盖并人工复核,example also openai has this Library
S0301,00:11:26.36,00:11:29.91,M015,已覆盖并人工复核,called tick token that uses a bite pair
S0302,00:11:28.87,00:11:33.36,M015,已覆盖并人工复核,encode
S0303,00:11:29.91,00:11:35.71,M015,已覆盖并人工复核,tokenizer um and that's what GPT uses
S0304,00:11:33.36,00:11:38.83,M015,已覆盖并人工复核,and you can also just encode words into
S0305,00:11:35.72,00:11:40.80,M015,已覆盖并人工复核,like hell world into a list of integers
S0306,00:11:38.83,00:11:43.16,M015,已覆盖并人工复核,so as an example I'm using the Tik token
