micro_id,start,end,title,content_type,chapter,learning_goal,handling
M037,00:26:40,00:27:15,把 B×T×C 展平为 BT×C,代码与shape,03-Bigram语言模型,理解：把 B×T×C 展平为 BT×C,正文讲解
M038,00:27:15,00:27:54,把 targets 展平并成功计算 loss,代码与运行结果,03-Bigram语言模型,理解：把 targets 展平并成功计算 loss,正文讲解
M039,00:27:54,00:28:37,用 ln(65) 判断初始 loss 是否合理,数值解释,03-Bigram语言模型,理解：用 ln(65) 判断初始 loss 是否合理,正文讲解
M040,00:28:37,00:29:14,generate 循环如何逐 token 扩展序列,生成流程,03-Bigram语言模型,理解：generate 循环如何逐 token 扩展序列,正文讲解
M041,00:29:14,00:29:56,targets 可选时如何跳过 loss,接口修改,03-Bigram语言模型,理解：targets 可选时如何跳过 loss,正文讲解
M042,00:29:56,00:30:36,为什么只取最后时间步 logits,生成逻辑,03-Bigram语言模型,理解：为什么只取最后时间步 logits,正文讲解
M043,00:30:36,00:31:15,softmax 把 logits 转为概率,概率,03-Bigram语言模型,理解：softmax 把 logits 转为概率,正文讲解
M044,00:31:15,00:31:54,multinomial 按概率采样下一个 token,采样,03-Bigram语言模型,理解：multinomial 按概率采样下一个 token,正文讲解
M045,00:31:54,00:32:32,cat 把新 token 拼回时间维,代码与shape,03-Bigram语言模型,理解：cat 把新 token 拼回时间维,正文讲解
M046,00:32:32,00:33:12,用换行 token 启动第一次生成,运行实验,03-Bigram语言模型,理解：用换行 token 启动第一次生成,正文讲解
M047,00:33:12,00:34:57,未训练输出乱码与通用 generate 接口,结果与接口设计,03-Bigram语言模型,理解：未训练输出乱码与通用 generate 接口,正文讲解
M048,00:34:57,00:35:34,选择 AdamW 与合适学习率,优化器,04-训练循环与模型评估,理解：选择 AdamW 与合适学习率,正文讲解
M049,00:35:34,00:36:16,标准训练循环的五个动作,训练代码,04-训练循环与模型评估,理解：标准训练循环的五个动作,正文讲解
M050,00:36:16,00:36:58,zero_grad backward step 分别做什么,反向传播,04-训练循环与模型评估,理解：zero_grad backward step 分别做什么,正文讲解
M051,00:36:58,00:38:08,训练后 loss 降到约 2.5,运行结果,04-训练循环与模型评估,理解：训练后 loss 降到约 2.5,正文讲解
M052,00:38:08,00:39:02,把 Notebook 整理成 bigram.py,工程整理,04-训练循环与模型评估,理解：把 Notebook 整理成 bigram.py,正文讲解
M053,00:39:02,00:40:34,选择 device 并让数据模型位于同一设备,设备与错误预防,04-训练循环与模型评估,理解：选择 device 并让数据模型位于同一设备,正文讲解
M054,00:40:34,00:41:20,estimate_loss 为什么要平均多个 batch,评估,04-训练循环与模型评估,理解：estimate_loss 为什么要平均多个 batch,正文讲解
M055,00:41:20,00:42:24,eval train 与 no_grad 各自影响什么,评估模式,04-训练循环与模型评估,理解：eval train 与 no_grad 各自影响什么,正文讲解
M056,00:42:24,00:43:02,建立 B×T×C 玩具张量与因果通信目标,问题定义,05-Self-Attention,理解：建立 B×T×C 玩具张量与因果通信目标,正文讲解
M057,00:43:02,00:43:50,当前位置需要汇总自己和之前 token,概念,05-Self-Attention,理解：当前位置需要汇总自己和之前 token,正文讲解
M058,00:43:50,00:44:42,为什么先用前缀平均作为通信基线,数学动机,05-Self-Attention,理解：为什么先用前缀平均作为通信基线,正文讲解
M059,00:44:42,00:45:28,初始化 xbow 并遍历 batch 与时间,朴素代码,05-Self-Attention,理解：初始化 xbow 并遍历 batch 与时间,正文讲解
M060,00:45:28,00:46:12,切出 xprev 并沿时间维求平均,代码与shape,05-Self-Attention,理解：切出 xprev 并沿时间维求平均,正文讲解
M061,00:46:12,00:47:03,对照 x 与 xbow 理解前缀平均结果,运行结果,05-Self-Attention,理解：对照 x 与 xbow 理解前缀平均结果,正文讲解
M062,00:47:03,00:47:48,用 A@B 学习矩阵乘法的行列组合,矩阵例子,05-Self-Attention,理解：用 A@B 学习矩阵乘法的行列组合,正文讲解
M063,00:47:48,00:48:38,全一行为什么会求出 B 的列和,矩阵例子,05-Self-Attention,理解：全一行为什么会求出 B 的列和,正文讲解
M064,00:48:38,00:49:32,下三角全一矩阵产生逐行前缀和,数学推导,05-Self-Attention,理解：下三角全一矩阵产生逐行前缀和,正文讲解
M065,00:49:32,00:50:28,归一化下三角矩阵得到前缀平均,数学推导,05-Self-Attention,理解：归一化下三角矩阵得到前缀平均,正文讲解
M066,00:50:28,00:51:22,用具体数字验证加权前缀平均,矩阵例子,05-Self-Attention,理解：用具体数字验证加权前缀平均,正文讲解
M067,00:51:22,00:52:50,构造 T×T 的归一化权重矩阵,代码,05-Self-Attention,理解：构造 T×T 的归一化权重矩阵,正文讲解
M068,00:52:50,00:53:45,T×T 与 B×T×C 的批量矩阵乘法,代码与shape,05-Self-Attention,理解：T×T 与 B×T×C 的批量矩阵乘法,正文讲解
M069,00:53:45,00:54:25,allclose 验证循环版和矩阵版一致,验证,05-Self-Attention,理解：allclose 验证循环版和矩阵版一致,正文讲解
M070,00:54:25,00:54:48,批量矩阵乘法不会混合不同 batch,shape与隔离,05-Self-Attention,理解：批量矩阵乘法不会混合不同 batch,正文讲解
M071,00:54:48,00:55:34,用零分数与 tril 改写第三版权重,实现演进,05-Self-Attention,理解：用零分数与 tril 改写第三版权重,正文讲解
M072,00:55:34,00:56:18,masked_fill 用负无穷屏蔽未来,因果掩码,05-Self-Attention,理解：masked_fill 用负无穷屏蔽未来,正文讲解
M073,00:56:18,00:56:58,softmax 还原归一化下三角权重,运行结果,05-Self-Attention,理解：softmax 还原归一化下三角权重,正文讲解
M074,00:56:58,00:57:45,亲和度将从固定零分数变成数据依赖,概念过渡,05-Self-Attention,理解：亲和度将从固定零分数变成数据依赖,正文讲解
M075,00:57:45,00:58:05,矩阵乘法完成按权重的信息聚合,数学总结,05-Self-Attention,理解：矩阵乘法完成按权重的信息聚合,正文讲解
M076,00:58:05,00:58:17,从加权聚合过渡到 Self-Attention,章节过渡,05-Self-Attention,理解：从加权聚合过渡到 Self-Attention,正文讲解
M077,00:58:17,00:59:21,整理构造参数并用 n_embd 建立中间特征空间,代码整理与模型重构,05-Self-Attention,理解：整理构造参数并用 n_embd 建立中间特征空间,正文讲解
M078,00:59:21,01:00:00,lm_head 把 embedding 映射回词表 logits,代码与shape,05-Self-Attention,理解：lm_head 把 embedding 映射回词表 logits,正文讲解
M079,01:00:00,01:00:23,区分 embedding 维 C 与 vocab 维 C,shape与术语,05-Self-Attention,理解：区分 embedding 维 C 与 vocab 维 C,正文讲解
M080,01:00:23,01:01:05,创建 position embedding table,位置编码,05-Self-Attention,理解：创建 position embedding table,正文讲解
M081,01:01:05,01:01:26,arange 生成位置索引并查表,代码与shape,05-Self-Attention,理解：arange 生成位置索引并查表,正文讲解
M082,01:01:26,01:02:02,B×T×C 与 T×C 如何广播相加,广播,05-Self-Attention,理解：B×T×C 与 T×C 如何广播相加,正文讲解
M083,01:02:02,01:02:28,Bigram 暂时用不上位置信息,能力解释,05-Self-Attention,理解：Bigram 暂时用不上位置信息,正文讲解
M084,01:02:28,01:03:36,均匀平均为何无法选择重要 token,问题定义,05-Self-Attention,理解：均匀平均为何无法选择重要 token,正文讲解
M085,01:03:36,01:04:41,用 query 与 key 产生数据依赖关系,QK概念,05-Self-Attention,理解：用 query 与 key 产生数据依赖关系,正文讲解
M086,01:04:41,01:05:21,把匹配程度变成可以学习的分数,概念与数学,05-Self-Attention,理解：把匹配程度变成可以学习的分数,正文讲解
M087,01:05:21,01:06:03,每个 token 独立生成 key 和 query,代码与shape,05-Self-Attention,理解：每个 token 独立生成 key 和 query,正文讲解
M088,01:06:03,01:06:53,为什么必须转置 key,代码与shape,05-Self-Attention,理解：为什么必须转置 key,正文讲解
M089,01:06:53,01:07:44,固定平均变成数据依赖权重,概念与运行结果,05-Self-Attention,理解：固定平均变成数据依赖权重,正文讲解
M090,01:07:44,01:08:51,用元音寻找辅音理解 QK,概念类比,05-Self-Attention,理解：用元音寻找辅音理解 QK,正文讲解
M091,01:08:51,01:09:24,查看 softmax 之前的原始分数,调试与运行结果,05-Self-Attention,理解：查看 softmax 之前的原始分数,正文讲解
M092,01:09:24,01:10:04,因果掩码与 softmax 各做一件事,代码与模型行为,05-Self-Attention,理解：因果掩码与 softmax 各做一件事,正文讲解
M093,01:10:04,01:11:08,Value 才是最终被搬运的信息,代码与shape,05-Self-Attention,理解：Value 才是最终被搬运的信息,正文讲解
M094,01:11:08,01:12:09,注意力是有向图上的信息通信,概念,05-Self-Attention,理解：注意力是有向图上的信息通信,正文讲解
M095,01:12:09,01:13:11,自回归任务对应怎样的有向图,图结构,05-Self-Attention,理解：自回归任务对应怎样的有向图,正文讲解
M096,01:13:11,01:14:15,注意力没有天然空间位置概念,概念对比,05-Self-Attention,理解：注意力没有天然空间位置概念,正文讲解
M097,01:14:15,01:15:19,batch 内有四组互不通信的图,batch与shape,05-Self-Attention,理解：batch 内有四组互不通信的图,正文讲解
M098,01:15:19,01:16:23,encoder 与 decoder 的 mask 差异,架构对比,05-Self-Attention,理解：encoder 与 decoder 的 mask 差异,正文讲解
M099,01:16:23,01:17:18,self-attention 与 cross-attention 的数据来源,架构对比,05-Self-Attention,理解：self-attention 与 cross-attention 的数据来源,正文讲解
M100,01:17:18,01:18:18,为什么点积要除以根号 head_size,Scaled Attention,05-Self-Attention,理解：为什么点积要除以根号 head_size,正文讲解
M101,01:18:18,01:19:13,方差过大会让 softmax 过度尖锐,概率与初始化,05-Self-Attention,理解：方差过大会让 softmax 过度尖锐,正文讲解
M102,01:19:13,01:20:17,把单头注意力封装成 Head 并注册 tril buffer,代码封装与PyTorch API,06-Multi-Head-Attention,理解：把单头注意力封装成 Head 并注册 tril buffer,正文讲解
M103,01:20:17,01:20:51,将 Head 接入 token 与位置表示之后,模型接线,06-Multi-Head-Attention,理解：将 Head 接入 token 与位置表示之后,正文讲解
M104,01:20:51,01:21:37,裁剪生成上下文并调整训练超参数,生成逻辑与训练配置,06-Multi-Head-Attention,理解：裁剪生成上下文并调整训练超参数,正文讲解
M105,01:21:37,01:22:18,单头注意力训练结果与局限,运行结果,06-Multi-Head-Attention,理解：单头注意力训练结果与局限,正文讲解
M106,01:22:18,01:23:03,用 ModuleList 并行多个 Head 并按通道拼接,概念与代码,06-Multi-Head-Attention,理解：用 ModuleList 并行多个 Head 并按通道拼接,正文讲解
M107,01:23:03,01:23:46,四个八维头如何重新组成三十二维,代码与shape,06-Multi-Head-Attention,理解：四个八维头如何重新组成三十二维,正文讲解
M108,01:23:46,01:24:45,多头结果提升与 Transformer 图中组件对应,运行结果与架构定位,06-Multi-Head-Attention,理解：多头结果提升与 Transformer 图中组件对应,正文讲解
M109,01:24:45,01:25:28,从论文图引出逐 token FeedForward,架构与概念,07-Transformer-Block,理解：从论文图引出逐 token FeedForward,正文讲解
M110,01:25:28,01:26:12,实现 Linear 加 ReLU 的逐 token 计算,代码与shape,07-Transformer-Block,理解：实现 Linear 加 ReLU 的逐 token 计算,正文讲解
M111,01:26:12,01:26:53,FeedForward 将 loss 降至约 2.24 并引出 Block,运行结果与架构,07-Transformer-Block,理解：FeedForward 将 loss 降至约 2.24 并引出 Block,正文讲解
M112,01:26:53,01:27:28,Block 交替组织注意力通信与独立计算,代码封装,07-Transformer-Block,理解：Block 交替组织注意力通信与独立计算,正文讲解
M113,01:27:28,01:27:55,按 n_head 划分通道并顺序堆叠 Block,代码与shape,07-Transformer-Block,理解：按 n_head 划分通道并顺序堆叠 Block,正文讲解
M114,01:27:55,01:28:34,直接堆深后出现优化困难,优化问题,07-Transformer-Block,理解：直接堆深后出现优化困难,正文讲解
M115,01:28:34,01:29:14,从 ResNet 图理解残差连接,背景与概念,07-Transformer-Block,理解：从 ResNet 图理解残差连接,正文讲解
M116,01:29:14,01:29:52,加法让梯度沿残差主干直接传播,梯度解释,07-Transformer-Block,理解：加法让梯度沿残差主干直接传播,正文讲解
M117,01:29:52,01:30:30,梯度高速公路为何帮助深层优化,优化直觉,07-Transformer-Block,理解：梯度高速公路为何帮助深层优化,正文讲解
M118,01:30:30,01:31:10,实现 x 加 attention 和 x 加 feedforward,残差代码,07-Transformer-Block,理解：实现 x 加 attention 和 x 加 feedforward,正文讲解
M119,01:31:10,01:32:08,输出投影与四倍宽 FeedForward,代码与shape,07-Transformer-Block,理解：输出投影与四倍宽 FeedForward,正文讲解
M120,01:32:08,01:32:44,残差与四倍 FFN 将 loss 降至约 2.08,运行结果与过拟合,07-Transformer-Block,理解：残差与四倍 FFN 将 loss 降至约 2.08,正文讲解
M121,01:32:44,01:33:20,从 BatchNorm 引出 LayerNorm,归一化概念,07-Transformer-Block,理解：从 BatchNorm 引出 LayerNorm,正文讲解
M122,01:33:20,01:33:58,BatchNorm 为每个特征跨样本归一化,数学与shape,07-Transformer-Block,理解：BatchNorm 为每个特征跨样本归一化,正文讲解
M123,01:33:58,01:34:36,LayerNorm 改为对每个样本的特征归一化,数学与shape,07-Transformer-Block,理解：LayerNorm 改为对每个样本的特征归一化,正文讲解
M124,01:34:36,01:35:14,LayerNorm 无需 running statistics 但保留 gamma beta,实现差异与参数,07-Transformer-Block,理解：LayerNorm 无需 running statistics 但保留 gamma beta,正文讲解
M125,01:35:14,01:35:52,原论文 post-norm 与现代 pre-norm,架构对比,07-Transformer-Block,理解：原论文 post-norm 与现代 pre-norm,正文讲解
M126,01:35:52,01:36:23,在 attention 与 FFN 前加入两个 LayerNorm,代码接线,07-Transformer-Block,理解：在 attention 与 FFN 前加入两个 LayerNorm,正文讲解
M127,01:36:23,01:36:54,LayerNorm 对每个 token 的 C 个特征统计,shape,07-Transformer-Block,理解：LayerNorm 对每个 token 的 C 个特征统计,正文讲解
M128,01:36:54,01:37:49,LayerNorm 结果与末尾归一化完成 Transformer,运行结果与模型完成,07-Transformer-Block,理解：LayerNorm 结果与末尾归一化完成 Transformer,正文讲解
M129,01:37:49,01:38:08,用 n_layer 与 n_head 整理规模化参数,代码整理,08-完整GPT训练与生成,理解：用 n_layer 与 n_head 整理规模化参数,正文讲解
M130,01:38:08,01:38:30,Dropout 可放在哪些残差分支末端,正则化代码,08-完整GPT训练与生成,理解：Dropout 可放在哪些残差分支末端,正文讲解
M131,01:38:30,01:39:06,随机失活为何近似训练子网络集成,正则化概念,08-完整GPT训练与生成,理解：随机失活为何近似训练子网络集成,正文讲解
M132,01:39:06,01:39:34,Dropout 通过随机子网络集成缓解过拟合,正则化概念,08-完整GPT训练与生成,理解：Dropout 通过随机子网络集成缓解过拟合,正文讲解
M133,01:39:34,01:40:04,放大 batch block_size 与 embedding 并降低学习率,超参数与shape,08-完整GPT训练与生成,理解：放大 batch block_size 与 embedding 并降低学习率,正文讲解
M134,01:40:04,01:40:37,六头六层与百分之二十 Dropout 配置,超参数与运行过渡,08-完整GPT训练与生成,理解：六头六层与百分之二十 Dropout 配置,正文讲解
M135,01:40:37,01:41:16,A100 训练约十五分钟得到 1.48 并给出低配建议,运行结果与硬件建议,08-完整GPT训练与生成,理解：A100 训练约十五分钟得到 1.48 并给出低配建议,正文讲解
M136,01:41:16,01:42:43,生成文本像莎士比亚但无语义并结束编程部分,结果分析与章节结束,08-完整GPT训练与生成,理解：生成文本像莎士比亚但无语义并结束编程部分,正文讲解
M137,01:42:43,01:43:20,我们实现的是带三角 mask 的 decoder-only Transformer,架构定位,09-GPT与ChatGPT,理解：我们实现的是带三角 mask 的 decoder-only Transformer,正文讲解
M138,01:43:20,01:43:45,原论文为何为机器翻译设计 encoder-decoder,架构背景,09-GPT与ChatGPT,理解：原论文为何为机器翻译设计 encoder-decoder,正文讲解
M139,01:43:45,01:44:22,翻译任务中的 START 与 END token,序列设计,09-GPT与ChatGPT,理解：翻译任务中的 START 与 END token,正文讲解
M140,01:44:22,01:44:50,decoder 生成英文时还要条件化于法语输入,decoder条件,09-GPT与ChatGPT,理解：decoder 生成英文时还要条件化于法语输入,正文讲解
M141,01:44:50,01:45:26,encoder 无因果 mask 双向读取完整法语,encoder,09-GPT与ChatGPT,理解：encoder 无因果 mask 双向读取完整法语,正文讲解
M142,01:45:26,01:45:53,cross-attention 的 Q 来自 decoder 而 KV 来自 encoder,cross-attention,09-GPT与ChatGPT,理解：cross-attention 的 Q 来自 decoder 而 KV 来自 encoder,正文讲解
M143,01:45:53,01:46:26,GPT 无外部条件只保留 decoder 并转入 nanoGPT,架构总结,09-GPT与ChatGPT,理解：GPT 无外部条件只保留 decoder 并转入 nanoGPT,正文讲解
M144,01:46:26,01:46:56,nanoGPT 的 train.py 包含哪些工程能力,代码导览,09-GPT与ChatGPT,理解：nanoGPT 的 train.py 包含哪些工程能力,正文讲解
M145,01:46:56,01:47:28,nanoGPT CausalSelfAttention 与课堂 Head 的对应,代码导览,09-GPT与ChatGPT,理解：nanoGPT CausalSelfAttention 与课堂 Head 的对应,正文讲解
M146,01:47:28,01:47:59,四维张量把所有 head 作为并行维,shape与优化,09-GPT与ChatGPT,理解：四维张量把所有 head 作为并行维,正文讲解
M147,01:47:59,01:48:30,MLP GELU Block 与完整 GPT 如何对应课堂版本,代码映射,09-GPT与ChatGPT,理解：MLP GELU Block 与完整 GPT 如何对应课堂版本,正文讲解
M148,01:48:30,01:49:00,checkpoint optimizer generate 工程细节与 ChatGPT 过渡,章节过渡,09-GPT与ChatGPT,理解：checkpoint optimizer generate 工程细节与 ChatGPT 过渡,正文讲解
M149,01:49:00,01:49:32,ChatGPT 训练先预训练再微调,训练阶段总览,09-GPT与ChatGPT,理解：ChatGPT 训练先预训练再微调,正文讲解
M150,01:49:32,01:50:03,课堂模型约千万参数与字符数据的 token 换算,规模与tokenizer,09-GPT与ChatGPT,理解：课堂模型约千万参数与字符数据的 token 换算,正文讲解
M151,01:50:03,01:50:34,课堂约三十万 subword token 对比 GPT-3,token规模,09-GPT与ChatGPT,理解：课堂约三十万 subword token 对比 GPT-3,正文讲解
M152,01:50:34,01:51:06,GPT-3 最大模型 175B 参数及结构超参数,规模对比,09-GPT与ChatGPT,理解：GPT-3 最大模型 175B 参数及结构超参数,正文讲解
M153,01:51:06,01:51:38,GPT-3 训练约 300B token 并走向万亿规模,数据规模,09-GPT与ChatGPT,理解：GPT-3 训练约 300B token 并走向万亿规模,正文讲解
M154,01:51:38,01:52:08,架构相近但大模型预训练需要数千 GPU,基础设施,09-GPT与ChatGPT,理解：架构相近但大模型预训练需要数千 GPU,正文讲解
M155,01:52:08,01:52:38,预训练只得到不稳定的互联网文档补全器,能力边界,09-GPT与ChatGPT,理解：预训练只得到不稳定的互联网文档补全器,正文讲解
M156,01:52:38,01:53:11,监督微调用问答示范塑造助手格式,SFT,09-GPT与ChatGPT,理解：监督微调用问答示范塑造助手格式,正文讲解
M157,01:53:11,01:53:42,人工偏好排序训练奖励模型,奖励模型,09-GPT与ChatGPT,理解：人工偏好排序训练奖励模型,正文讲解
M158,01:53:42,01:54:14,PPO 根据奖励模型优化生成策略,强化学习,09-GPT与ChatGPT,理解：PPO 根据奖励模型优化生成策略,正文讲解
M159,01:54:14,01:54:46,对齐把补全器变成助手且难以完整复现,对齐总结,09-GPT与ChatGPT,理解：对齐把补全器变成助手且难以完整复现,正文讲解
M160,01:54:46,01:55:19,回顾 decoder-only Transformer 与约二百行代码资源,课程与资源总结,09-GPT与ChatGPT,理解：回顾 decoder-only Transformer 与约二百行代码资源,正文讲解
M161,01:55:19,01:55:42,GPT-3 架构相近但规模大数万至百万倍,规模总结,09-GPT与ChatGPT,理解：GPT-3 架构相近但规模大数万至百万倍,正文讲解
M162,01:55:42,01:56:02,任务型模型需要监督微调或更复杂对齐,延伸方向,09-GPT与ChatGPT,理解：任务型模型需要监督微调或更复杂对齐,正文讲解
M163,01:56:02,01:56:15,奖励模型与 PPO 仍是未展开的后续主题,延伸总结,09-GPT与ChatGPT,理解：奖励模型与 PPO 仍是未展开的后续主题,正文讲解
M164,01:56:15,01:56:20,结束语与无新增知识画面,结束与停顿,09-GPT与ChatGPT,理解：结束语与无新增知识画面,合并讲解
