micro_id,status,notes
M025,已人工复核,核对从T到BT、独立样本和batch维语义
M026,已人工复核,核对get_batch数据源、随机合法起点和边界
M027,已人工复核,核对列表推导加stack、cat区别和BT shape
M028,已人工复核,核对四乘八batch的32个独立监督位置
M029,已人工复核,修正batch并行与梯度估计作用并保持样本隔离
M030,已人工复核,核对Bigram输入输出、相邻token假设和基线作用
M031,已人工复核,核对Module继承、super初始化和embedding注册
M032,已人工复核,核对BT索引逐项查表、BTC输出和具体索引例子
M033,已人工复核,核对embedding表输出直接作为65类logits的含义
M034,已人工复核,核对Bigram只读当前token及长程能力限制
M035,已人工复核,核对cross entropy输入目标、正确类和负对数直觉
M036,已人工复核,核对API类别维要求、报错来源和文档画面
M037,已人工复核,核对BTC展平为BT乘C及元素顺序保持
M038,已人工复核,核对targets展平、类别对应和loss成功输出
M039,已人工复核,核对均匀基线ln65与随机初始化loss差异
M040,已人工复核,核对生成循环逐token追加及重复计算边界
M041,已人工复核,核对训练与生成调用、可选targets和loss分支
M042,已人工复核,核对仅取最后时间步logits及错误时间维后果
M043,已人工复核,核对softmax类别维、概率性质和稳定实现
M044,已人工复核,核对multinomial按概率采样及与argmax区别
M045,已人工复核,核对idx_next沿时间维cat和shape增长
M046,已人工复核,核对换行token启动、dtype long和解码流程
M047,已人工复核,核对未训练乱码原因、接口通用性和能力边界
M048,已人工复核,核对AdamW参数引用、学习率和未展开公式边界
M049,已人工复核,核对取batch前向清梯度反传更新五步顺序
M050,已人工复核,核对zero_grad backward step职责及累积错误
M051,已人工复核,核对loss降至约2.5、生成改善和Bigram上限
M052,已人工复核,核对Notebook整理、超参数集中和脚本运行
M053,已人工复核,核对CPU CUDA设备选择及模型数据同设备约束
M054,已人工复核,核对多batch平均、train val来源和估计噪声
M055,已人工复核,核对eval train no_grad三者独立作用与当前模型边界
M102,已人工复核,核对Head封装、QKV数据流、buffer与parameter差异
M103,已人工复核,核对attention在embedding与lm head之间的接线
M104,已人工复核,核对生成窗口裁剪、位置表边界和学习率变化
M105,已人工复核,核对单头训练loss改善及生成质量边界
M106,已人工复核,核对ModuleList参数注册、并行Head与cat末维
M107,已人工复核,核对四个八维头拼成三十二维及head约束
M108,已人工复核,核对多头loss结果和Transformer图组件定位
M109,已人工复核,核对论文图中FFN、cross attention跳过和Block重复
M110,已人工复核,核对Linear加ReLU逐token作用和BTC shape保持
M111,已人工复核,核对FFN后loss改善和由单层过渡到Block
M112,已人工复核,核对attention通信与FFN计算交替组织
M113,已人工复核,核对n_embd除n_head及Sequential独立Block
M115,已人工复核,核对ResNet来源、x加F和shape相同约束
M116,已人工复核,核对残差分叉加法、局部导数和梯度路径
M118,已人工复核,核对两次非原地残差更新及执行顺序
M119,已人工复核,核对多头输出投影和FFN四倍扩张再压回C
M120,已人工复核,核对loss约2.08、训练验证差距和过拟合迹象
M121,已人工复核,核对从Transformer图中Norm引出LayerNorm
M122,已人工复核,核对BatchNorm按列跨32个样本统计
M123,已人工复核,核对LayerNorm按每行特征统计及转置直觉
M124,已人工复核,核对running统计删除、gamma beta保留和模式区别
M125,已人工复核,核对原论文post norm与视频pre norm顺序
M126,已人工复核,核对两个LayerNorm在attention和FFN前接线
M127,已人工复核,核对LayerNorm只统计每个token的C个特征
M128,已人工复核,核对pre norm结果、final norm和模型完成边界
M129,已人工复核,核对n_layer n_head参数化和独立Block实例
M130,已人工复核,核对三个Dropout位置及残差分支回主路前作用
M131,已人工复核,核对随机失活神经元与注意力边的模型行为
M132,已人工复核,核对子网络集成类比、训练随机和推理合并
M133,已人工复核,核对batch block embedding学习率放大配置及代价
M134,已人工复核,核对六头六层二成Dropout和每头64维
M135,已人工复核,核对A100十五分钟1.48结果与低配复现边界
M136,已人工复核,核对最终生成格式改善、语义失败和编程段结束
M137,已人工复核,核对课堂decoder only、无encoder和cross attention
M138,已人工复核,核对翻译任务为何需要encoder decoder两侧
M139,已人工复核,核对START END及目标输入输出错位
M140,已人工复核,核对目标侧因果生成仍需源句条件信息
M141,已人工复核,核对完整源句可双向读取和无因果mask
M142,已人工复核,核对cross attention的Q与KV来源及不同长度shape
M143,已人工复核,核对GPT移除encoder cross attention并保留decoder
M144,已人工复核,核对nanoGPT train与model文件的工程职责
M145,已人工复核,核对nanoGPT合并QKV与课堂Head数学对应
M146,已人工复核,核对BHTH四维多头并行与拼接等价关系
M147,已人工复核,核对GELU MLP Block及完整GPT组件映射
M148,已人工复核,核对checkpoint优化器分组generate工程扩展
M149,已人工复核,核对预训练与微调两阶段总览和历史口径
M150,已人工复核,核对课堂参数量、字符数和token口径不可直接等同
M151,已人工复核,核对约三十万subword token估算及数量级边界
M152,已人工复核,核对GPT3一百七十五B及结构超参数映射
M153,已人工复核,核对三百B训练token与课堂数据数量级比较
M154,已人工复核,核对数千GPU基础设施含义及不只参数规模
M155,已人工复核,核对预训练文档补全器的不稳定回答格式
M156,已人工复核,核对SFT示范数据和继续下一token训练
M157,已人工复核,核对候选回答人工排序与奖励模型职责
M158,已人工复核,核对policy奖励模型PPO输入输出和未实现边界
M159,已人工复核,核对对齐把补全器变助手及非公开数据限制
M160,已人工复核,核对decoder only总结、约二百行和Git资源
M161,已人工复核,核对架构相近但规模比较取决于统计口径
M162,已人工复核,核对任务模型需要后续微调而非只预训练
M163,已人工复核,核对奖励模型PPO未展开及课程边界
M164,已人工复核,核对结束语归属且无新增教学内容
